Cooperation is optional (Loners).
Steps
1002	1002

Entity counts
Human	Mammoth	Plant	Stone	
----------------------------------------------------
40	8	30	5
40	8	30	5
39	8	30	5
38	8	30	5
38	9	30	5
38	8	30	5
38	8	30	5
38	8	30	5
38	9	30	5
38	9	30	5
38	9	30	5
38	10	30	5
38	10	30	5
38	12	30	5
38	12	30	5
39	12	30	5
39	12	30	5
38	11	30	5
38	11	30	5
38	11	30	5
38	11	30	5
38	13	30	5
38	13	30	5
38	13	30	5
38	14	30	5
37	13	30	5
37	13	30	5
37	13	30	5
37	13	30	5
37	13	30	5
37	16	30	5
37	16	30	5
37	17	31	5
36	17	31	5
36	17	31	5
36	18	31	5
36	20	31	5
36	20	31	5
36	20	31	5
36	20	31	5
36	20	31	5
36	20	31	5
36	20	31	5
36	20	31	5
36	20	31	5
36	20	31	5
36	19	31	5
36	19	31	5
35	19	31	5
35	19	31	5
35	18	32	5
36	18	32	5
37	21	32	5
37	21	32	5
37	21	32	5
37	21	32	5
37	23	32	5
38	23	32	5
39	23	32	5
39	22	32	5
38	23	26	5
37	24	26	5
37	25	25	5
37	24	25	5
37	24	25	5
36	25	25	5
36	25	24	5
36	25	24	5
36	26	23	5
36	26	23	5
36	27	23	5
36	27	23	5
36	27	23	5
36	27	22	5
35	26	21	5
36	26	21	5
36	26	21	5
36	26	21	5
36	26	19	5
38	26	19	5
38	26	18	5
38	23	18	5
38	22	17	5
39	22	17	5
43	23	17	5
45	22	17	5
45	22	16	5
45	20	16	5
44	18	15	5
42	18	15	5
43	18	15	5
43	20	15	5
43	20	15	5
43	20	15	5
43	20	15	5
44	21	15	5
43	21	15	5
43	20	15	5
43	20	15	5
43	20	15	5
43	20	15	5
43	20	14	5
43	20	13	5
43	20	13	5
43	20	13	5
43	22	13	5
43	22	13	5
43	22	12	5
43	22	11	5
43	22	11	5
44	22	7	5
45	21	7	5
45	19	7	5
45	19	7	5
45	18	7	5
45	18	7	5
45	18	7	5
45	18	7	5
45	18	7	5
45	18	7	5
45	18	7	5
45	18	7	5
44	18	7	5
45	18	7	5
49	17	7	5
50	15	7	5
50	14	7	5
51	13	7	5
52	11	7	5
52	11	6	5
52	11	6	5
52	10	6	5
52	10	6	5
52	9	8	5
52	8	8	5
52	8	8	5
52	7	8	5
52	7	8	5
52	5	8	5
52	5	7	5
52	6	7	5
52	6	7	5
52	6	7	5
52	5	7	5
51	5	6	5
51	5	6	5
51	5	7	5
51	5	7	5
51	4	7	5
50	4	6	5
50	4	6	5
50	4	6	5
50	4	6	5
50	5	6	5
50	5	6	5
50	5	6	5
50	5	6	5
50	4	6	5
49	4	6	5
49	4	6	5
49	4	6	5
49	4	6	5
50	4	6	5
52	4	6	5
51	4	6	5
51	2	6	5
52	4	6	5
58	4	6	5
57	4	6	5
56	3	6	5
56	3	6	5
56	3	6	5
56	3	6	5
58	3	6	5
58	3	6	5
58	2	6	5
58	2	6	5
58	2	6	5
58	2	6	5
58	2	6	5
58	2	6	5
58	2	6	5
58	2	6	5
58	2	6	5
58	2	6	5
58	2	6	5
58	4	6	5
58	4	6	5
58	4	6	5
58	3	6	5
58	4	6	5
58	4	6	5
58	4	6	5
58	4	6	5
58	4	6	5
58	4	6	5
58	4	6	5
58	4	6	5
58	4	6	5
58	4	6	5
57	4	6	5
59	4	7	5
59	4	7	5
59	3	7	5
59	3	7	5
58	3	6	5
58	3	6	5
57	3	7	5
57	3	7	5
57	3	7	5
57	4	7	5
56	4	7	5
56	4	7	5
56	4	7	5
56	5	7	5
56	6	7	5
56	6	7	5
56	6	7	5
56	6	6	5
55	6	6	5
55	6	6	5
55	6	6	5
55	6	6	5
55	6	6	5
55	6	6	5
55	6	6	5
55	6	6	5
54	6	6	5
53	6	6	5
53	6	6	5
53	6	6	5
53	6	6	5
53	6	6	5
52	6	6	5
51	6	6	5
51	6	6	5
51	6	6	5
51	6	6	5
51	7	6	5
50	6	6	5
50	6	6	5
50	6	6	5
49	6	6	5
48	6	6	5
49	5	8	5
47	4	8	5
45	4	8	5
45	4	8	5
45	3	8	5
45	2	8	5
45	4	8	5
45	4	8	5
44	3	8	5
44	2	8	5
43	2	8	5
43	2	8	5
42	2	7	5
42	2	7	5
42	2	7	5
40	2	7	5
40	2	7	5
40	2	7	5
40	2	6	5
40	2	6	5
43	4	6	5
45	4	6	5
45	4	6	5
45	3	6	5
45	3	6	5
45	3	6	5
45	3	6	5
45	3	7	5
45	3	8	5
45	3	9	5
44	3	9	5
44	3	9	5
44	3	9	5
44	3	9	5
44	3	9	5
43	3	9	5
43	2	9	5
43	2	9	5
42	2	9	5
41	2	8	5
41	2	8	5
41	2	8	5
40	2	8	5
41	2	8	5
42	4	8	5
42	4	8	5
41	4	8	5
41	3	8	5
40	3	8	5
40	3	8	5
40	3	8	5
40	3	8	5
40	3	8	5
40	3	8	5
40	3	7	5
40	3	7	5
40	3	7	5
40	3	7	5
40	3	7	5
40	3	7	5
40	3	7	5
40	3	7	5
40	3	7	5
40	2	7	5
39	2	7	5
39	2	7	5
39	2	7	5
39	2	7	5
39	2	6	5
39	2	6	5
39	2	6	5
39	3	6	5
41	3	6	5
41	3	6	5
41	2	6	5
40	2	6	5
38	2	6	5
38	4	6	5
37	4	6	5
37	4	6	5
36	3	6	5
34	3	6	5
33	3	6	5
33	3	6	5
33	3	6	5
33	3	6	5
32	3	6	5
32	3	6	5
33	3	8	5
33	3	8	5
33	3	8	5
33	2	8	5
33	2	8	5
33	3	8	5
33	3	8	5
33	3	7	5
33	3	7	5
33	3	7	5
33	4	7	5
37	4	7	5
38	5	7	5
37	5	7	5
37	4	7	5
37	4	7	5
37	4	7	5
37	4	7	5
37	4	7	5
37	4	7	5
37	4	7	5
37	4	7	5
37	4	7	5
37	4	7	5
37	4	7	5
37	4	7	5
36	4	7	5
36	3	7	5
36	3	7	5
36	3	7	5
36	3	7	5
36	2	7	5
37	4	7	5
39	4	7	5
40	4	7	5
40	3	7	5
40	3	7	5
40	4	7	5
40	4	7	5
40	4	7	5
40	4	7	5
40	4	7	5
40	5	7	5
40	5	7	5
38	5	7	5
38	4	7	5
37	5	7	5
37	5	7	5
37	5	7	5
37	5	7	5
36	5	6	5
35	5	6	5
35	5	6	5
37	5	6	5
37	5	6	5
37	4	6	5
37	4	6	5
35	4	6	5
35	4	6	5
35	4	6	5
35	4	6	5
35	4	6	5
35	4	6	5
35	4	6	5
34	4	6	5
34	4	6	5
34	4	6	5
34	4	6	5
34	4	6	5
34	4	6	5
34	4	6	5
34	4	6	5
34	5	6	5
34	5	6	5
34	5	6	5
34	5	6	5
36	5	6	5
37	4	6	5
37	4	6	5
37	4	6	5
37	4	6	5
37	3	6	5
37	2	6	5
36	2	6	5
36	2	7	5
36	2	7	5
36	2	7	5
36	2	7	5
36	2	7	5
36	2	7	5
38	4	7	5
40	4	6	5
39	4	6	5
38	3	6	5
37	3	6	5
37	3	6	5
37	3	6	5
37	3	6	5
37	3	6	5
37	3	6	5
37	3	6	5
37	3	6	5
38	3	6	5
38	3	6	5
38	3	6	5
38	3	6	5
38	3	6	5
38	3	6	5
38	3	6	5
38	3	6	5
38	3	6	5
38	3	6	5
38	3	6	5
38	3	6	5
38	3	6	5
37	3	6	5
37	2	6	5
37	2	7	5
36	2	7	5
35	2	7	5
34	2	6	5
34	2	6	5
34	2	6	5
34	2	6	5
34	2	6	5
34	2	6	5
34	2	6	5
35	4	6	5
35	4	6	5
35	3	6	5
35	2	6	5
35	2	6	5
35	4	6	5
35	4	6	5
36	4	6	5
36	3	6	5
36	3	6	5
36	3	6	5
36	3	6	5
36	3	6	5
36	4	6	5
36	4	6	5
36	4	6	5
36	4	6	5
35	4	7	5
34	4	8	5
34	4	9	5
34	4	9	5
34	4	9	5
34	4	9	5
34	4	9	5
34	3	9	5
34	3	9	5
35	3	9	5
35	3	9	5
35	2	9	5
35	2	9	5
35	2	9	5
35	2	8	5
35	2	8	5
35	2	8	5
35	2	8	5
35	4	8	5
35	4	8	5
35	4	8	5
34	3	7	5
34	3	7	5
34	3	7	5
34	3	7	5
35	3	7	5
35	3	7	5
35	3	7	5
35	2	7	5
35	2	7	5
35	2	7	5
35	2	7	5
35	2	7	5
35	2	7	5
35	2	7	5
35	2	7	5
35	2	7	5
34	2	6	5
34	2	6	5
34	2	7	5
34	2	7	5
34	2	7	5
34	4	7	5
33	4	7	5
33	4	7	5
33	3	7	5
33	3	7	5
34	3	7	5
34	3	7	5
34	4	7	5
37	4	7	5
39	4	7	5
39	3	7	5
39	3	7	5
39	3	7	5
39	3	7	5
39	3	7	5
41	3	7	5
43	3	7	5
43	2	7	5
43	2	7	5
44	4	7	5
44	4	6	5
46	4	6	5
46	3	6	5
46	3	6	5
46	3	6	5
46	3	6	5
47	3	6	5
47	3	6	5
49	3	6	5
51	3	6	5
50	4	6	5
50	3	6	5
50	3	6	5
50	3	6	5
50	3	6	5
50	3	6	5
50	3	6	5
50	3	6	5
49	3	8	5
49	3	8	5
49	3	8	5
49	3	8	5
49	3	8	5
49	3	8	5
49	3	8	5
49	3	8	5
50	3	8	5
50	3	8	5
50	2	7	5
50	2	7	5
50	2	7	5
50	2	7	5
50	2	7	5
50	2	7	5
49	2	7	5
50	2	7	5
53	4	7	5
54	4	7	5
54	4	7	5
54	2	7	5
55	4	7	5
53	4	7	5
53	4	7	5
54	3	7	5
54	3	7	5
53	3	7	5
53	3	7	5
53	3	7	5
53	3	7	5
53	3	7	5
53	3	7	5
53	3	7	5
53	3	6	5
53	3	6	5
53	3	6	5
53	3	7	5
