Cooperation is optional (Loners).
Steps
1000	1000

Entity counts
Human	Mammoth	Plant	Stone	
----------------------------------------------------
40	8	30	100
40	8	30	100
40	8	30	100
40	8	30	100
40	8	30	100
40	8	30	100
40	10	30	100
40	10	30	100
40	10	30	100
40	10	30	100
40	10	30	100
46	10	30	100
47	11	30	100
47	8	30	100
47	8	30	100
47	9	30	100
47	9	30	100
49	9	30	100
49	10	30	100
49	9	30	100
49	9	30	100
48	9	30	100
48	10	30	100
47	10	30	100
47	10	30	100
48	10	30	100
50	8	30	100
55	8	30	100
60	8	30	100
60	7	30	100
60	7	30	100
60	8	30	100
59	10	30	100
59	10	30	100
59	11	30	100
59	11	30	100
59	11	30	100
59	12	30	100
60	12	30	100
60	12	30	100
60	10	30	100
59	10	30	100
63	12	30	100
64	12	30	100
63	12	30	100
63	11	30	100
63	12	30	100
64	12	30	100
64	13	30	100
65	12	30	100
66	12	30	100
72	11	30	100
78	11	30	100
80	9	30	100
80	7	30	100
79	6	30	100
80	6	30	100
81	6	30	100
84	6	30	100
85	5	31	100
86	3	26	100
88	4	26	100
88	4	26	100
90	4	25	100
90	2	25	100
90	4	25	100
90	5	25	100
90	5	25	100
89	4	25	100
89	4	25	100
88	4	24	100
88	4	24	100
88	4	24	100
88	4	24	100
87	4	24	100
87	4	24	100
87	4	24	100
86	4	24	100
84	4	24	100
84	3	24	100
84	3	24	100
84	2	24	100
87	4	24	100
87	4	24	100
87	3	24	100
86	4	25	100
87	4	26	100
86	4	25	100
86	3	25	100
86	3	24	100
86	4	24	100
86	4	24	100
85	4	24	100
87	4	23	100
88	4	23	100
88	4	23	100
88	3	23	100
88	3	23	100
88	3	23	100
88	3	23	100
92	3	23	100
92	4	22	100
93	4	22	100
93	4	22	100
93	3	21	100
93	2	21	100
93	4	21	100
96	4	21	100
96	4	21	100
98	3	21	100
98	3	16	100
97	2	16	100
97	2	16	100
97	2	16	100
98	2	16	100
99	4	16	100
100	4	16	100
100	4	16	100
100	2	16	100
100	2	16	100
100	4	16	100
100	4	15	100
101	4	15	100
100	3	15	100
98	2	15	100
98	3	15	100
98	3	15	100
98	3	15	100
98	3	15	100
98	3	15	100
98	4	15	100
98	4	15	100
101	4	15	100
101	4	15	100
