Cooperation is compulsory (no Loners)!
Steps
551	551

Entity counts
Human	Mammoth	Plant	Stone	
----------------------------------------------------
40	8	30	5
40	8	30	5
40	8	30	5
40	8	30	5
40	9	30	5
40	9	30	5
40	9	30	5
39	9	30	5
39	9	30	5
39	9	30	5
38	9	30	5
38	10	30	5
38	10	30	5
38	11	30	5
38	11	30	5
38	14	30	5
38	14	30	5
39	15	30	5
41	15	30	5
40	14	30	5
40	19	30	5
39	19	30	5
39	20	30	5
38	20	30	5
38	21	30	5
38	20	30	5
37	21	30	5
35	21	30	5
35	22	30	5
35	23	30	5
35	23	30	5
36	22	30	5
35	22	30	5
35	23	30	5
35	22	30	5
35	22	30	5
36	23	30	5
36	24	30	5
36	24	30	5
36	27	30	5
34	27	30	5
33	26	30	5
32	26	30	5
32	27	30	5
32	29	30	5
32	30	30	5
32	31	30	5
31	30	30	5
31	31	30	5
33	33	30	5
33	33	30	5
31	36	30	5
30	36	30	5
29	36	30	5
29	37	30	5
29	37	30	5
29	39	30	5
31	39	30	5
30	39	30	5
30	39	30	5
30	40	27	5
30	41	27	5
32	40	27	5
32	41	26	5
32	43	25	5
32	43	25	5
32	44	25	5
32	44	25	5
33	45	25	5
36	44	25	5
37	43	25	5
39	43	24	5
40	42	24	5
40	41	24	5
40	42	24	5
40	43	23	5
40	43	21	5
40	44	21	5
40	45	21	5
40	44	21	5
40	44	20	5
40	46	19	5
40	46	19	5
40	46	19	5
42	46	19	5
42	46	17	5
42	45	17	5
42	45	16	5
42	46	16	5
41	47	16	5
41	48	15	5
41	48	14	5
41	48	14	5
41	50	13	5
41	50	12	5
43	51	11	5
44	52	11	5
48	51	11	5
49	53	11	5
49	52	11	5
49	53	11	5
50	53	11	5
51	55	11	5
50	55	11	5
50	54	11	5
50	54	11	5
50	53	10	5
53	53	10	5
54	53	9	5
54	53	9	5
53	51	5	5
56	51	8	5
55	51	7	5
55	50	7	5
54	50	7	5
54	50	7	5
57	50	7	5
57	49	7	5
56	49	7	5
56	49	7	5
56	50	7	5
55	50	7	5
54	50	7	5
52	50	7	5
52	50	7	5
49	49	7	5
51	49	7	5
50	48	7	5
50	48	7	5
51	47	7	5
51	46	7	5
51	44	7	5
49	44	7	5
49	44	7	5
49	44	7	5
48	41	7	5
48	41	7	5
46	42	7	5
46	41	7	5
46	41	7	5
46	40	7	5
45	40	7	5
44	40	7	5
43	40	7	5
43	39	7	5
43	39	7	5
43	39	7	5
43	39	7	5
43	39	7	5
43	39	7	5
43	38	7	5
40	37	7	5
40	37	7	5
40	37	7	5
39	37	7	5
39	36	7	5
39	36	7	5
39	36	7	5
39	34	7	5
39	33	7	5
37	33	7	5
37	32	7	5
37	31	7	5
37	31	7	5
37	31	7	5
37	27	7	5
38	27	7	5
38	27	7	5
37	26	7	5
37	24	7	5
36	23	7	5
36	22	6	5
36	22	5	5
36	22	7	5
37	20	7	5
37	19	7	5
37	18	7	5
37	16	7	5
36	15	7	5
35	15	7	5
35	14	7	5
35	14	7	5
35	12	7	5
35	12	7	5
35	11	7	5
35	10	7	5
33	9	7	5
31	8	7	5
31	8	7	5
31	8	7	5
30	8	7	5
29	8	7	5
29	7	7	5
28	7	7	5
28	6	7	5
27	6	7	5
27	8	7	5
28	8	7	5
27	7	7	5
26	7	7	5
26	7	7	5
26	7	7	5
26	7	7	5
26	7	7	5
26	8	7	5
26	8	7	5
26	8	7	5
26	8	7	5
26	8	7	5
26	8	7	5
25	8	6	5
25	8	6	5
25	8	6	5
24	8	8	5
24	8	8	5
23	7	8	5
22	7	8	5
21	6	8	5
22	6	8	5
21	6	8	5
21	5	8	5
22	5	8	5
22	4	7	5
23	4	7	5
23	3	7	5
23	3	7	5
24	2	7	5
24	4	7	5
24	4	7	5
24	4	7	5
24	3	7	5
24	2	7	5
24	2	7	5
24	2	7	5
24	2	7	5
24	2	7	5
24	2	7	5
23	2	7	5
23	2	7	5
23	2	8	5
23	2	9	5
23	2	9	5
24	4	9	5
30	4	9	5
32	4	9	5
32	3	9	5
31	3	9	5
31	3	9	5
31	3	9	5
30	3	9	5
28	3	9	5
28	3	9	5
28	3	9	5
28	4	9	5
28	5	9	5
28	5	9	5
28	5	9	5
28	5	9	5
28	6	9	5
28	6	9	5
28	7	9	5
27	7	9	5
27	7	9	5
27	7	9	5
28	7	9	5
29	7	9	5
29	6	9	5
28	6	9	5
28	6	9	5
28	6	9	5
27	6	9	5
27	6	9	5
27	6	9	5
27	6	9	5
28	6	9	5
28	5	9	5
28	7	9	5
27	8	9	5
27	8	9	5
27	9	9	5
27	9	9	5
27	9	9	5
27	10	9	5
27	10	9	5
27	13	8	5
27	13	8	5
27	13	8	5
27	13	8	5
27	13	8	5
27	13	8	5
27	14	8	5
26	15	8	5
26	15	8	5
26	15	8	5
26	15	8	5
26	15	9	5
25	15	9	5
25	15	9	5
24	15	9	5
24	16	9	5
24	17	9	5
23	19	8	5
23	19	8	5
23	19	8	5
23	20	8	5
23	22	8	5
23	24	8	5
23	24	8	5
23	24	8	5
23	24	8	5
23	25	8	5
23	25	8	5
23	25	8	5
23	25	8	5
23	25	8	5
22	25	8	5
22	25	8	5
22	26	8	5
21	26	8	5
21	27	7	5
21	27	7	5
20	27	7	5
20	29	6	5
20	30	6	5
20	30	5	5
20	30	8	5
19	30	8	5
19	30	7	5
18	30	7	5
18	30	7	5
18	30	7	5
18	30	7	5
18	30	7	5
18	30	7	5
18	30	7	5
18	30	7	5
18	30	7	5
18	30	7	5
18	30	7	5
18	30	7	5
18	30	7	5
18	30	6	5
17	30	6	5
17	30	6	5
16	30	6	5
16	30	6	5
16	30	6	5
15	30	6	5
15	31	6	5
15	31	6	5
15	32	6	5
15	32	6	5
15	32	6	5
15	32	6	5
15	31	6	5
15	31	6	5
14	31	6	5
14	31	7	5
14	31	7	5
14	31	7	5
14	31	7	5
14	31	7	5
14	31	7	5
14	30	7	5
14	30	7	5
14	30	7	5
14	29	7	5
14	28	7	5
14	28	7	5
14	28	7	5
14	28	7	5
12	29	7	5
12	29	7	5
12	29	7	5
12	29	7	5
11	29	7	5
11	29	7	5
11	30	7	5
11	29	7	5
10	29	7	5
10	29	7	5
9	29	7	5
9	30	7	5
9	30	7	5
9	30	7	5
9	29	6	5
9	29	6	5
9	29	6	5
9	29	7	5
9	29	7	5
9	29	7	5
9	29	7	5
8	29	6	5
8	29	6	5
8	28	6	5
7	28	6	5
7	28	6	5
7	28	6	5
7	28	6	5
7	28	6	5
6	28	6	5
6	28	6	5
6	26	6	5
6	25	6	5
5	24	6	5
4	24	6	5
4	24	6	5
4	24	6	5
4	23	6	5
4	23	6	5
4	23	6	5
4	22	6	5
4	22	6	5
4	22	6	5
4	22	6	5
4	22	6	5
4	22	6	5
3	21	6	5
3	20	6	5
3	20	6	5
3	20	6	5
2	20	6	5
2	20	6	5
2	20	6	5
2	20	6	5
2	20	6	5
2	20	6	5
2	19	6	5
2	19	6	5
2	18	6	5
2	18	6	5
2	18	6	5
2	16	6	5
2	16	6	5
1	15	6	5
1	15	6	5
1	16	6	5
1	15	6	5
1	15	6	5
1	15	8	5
1	15	8	5
1	15	8	5
1	16	8	5
1	16	8	5
1	15	8	5
1	15	8	5
1	15	8	5
1	15	8	5
1	14	8	5
1	11	8	5
1	11	8	5
1	11	8	5
1	11	8	5
1	11	8	5
1	11	8	5
1	11	7	5
1	10	7	5
1	10	7	5
1	10	7	5
1	10	7	5
1	10	7	5
1	10	7	5
1	10	7	5
1	10	7	5
1	9	7	5
1	8	7	5
1	8	7	5
1	8	7	5
1	8	7	5
1	8	7	5
1	8	7	5
1	8	7	5
1	8	7	5
1	8	7	5
1	7	7	5
1	7	7	5
1	8	7	5
1	8	7	5
1	8	7	5
1	7	7	5
1	7	7	5
1	7	6	5
1	7	8	5
1	7	8	5
1	7	8	5
1	7	8	5
1	7	8	5
1	6	8	5
1	6	8	5
1	6	8	5
1	6	8	5
1	6	8	5
1	6	8	5
1	6	8	5
1	6	7	5
1	6	7	5
1	6	7	5
1	6	7	5
1	6	7	5
1	6	7	5
1	6	6	5
1	6	6	5
1	6	6	5
1	6	6	5
1	6	6	5
1	6	6	5
1	6	6	5
1	6	6	5
1	6	6	5
1	6	6	5
1	6	6	5
1	6	6	5
0	6	6	5
0	7	6	5
0	8	6	5
0	8	6	5
0	7	6	5
0	6	6	5
0	6	6	5
0	8	6	5
0	8	6	5
0	8	6	5
0	8	6	5
0	8	6	5
0	8	6	5
0	8	6	5
0	8	6	5
0	8	6	5
0	8	6	5
0	8	6	5
0	8	6	5
0	8	6	5
0	8	6	5
0	8	6	5
0	8	6	5
0	8	6	5
0	8	6	5
0	7	6	5
0	6	8	5
0	6	8	5
0	6	8	5
0	6	8	5
0	7	8	5
0	7	8	5
0	7	8	5
0	7	8	5
0	7	8	5
0	7	8	5
0	7	8	5
0	7	8	5
0	7	8	5

Averages:
22,3393829401089	21,2994555353902	10,6043557168784	5


Strategy counts
Cooper.	Defect.	Punish.	Loner	
----------------------------------------------------
11	16	13	0
11	16	13	0
11	16	13	0
11	16	13	0
11	16	13	0
12	16	12	0
12	16	12	0
12	15	12	0
12	15	12	0
12	15	12	0
12	13	13	0
12	13	13	0
12	13	13	0
12	13	13	0
11	14	13	0
11	14	13	0
13	14	11	0
14	14	11	0
15	15	11	0
15	14	11	0
15	14	11	0
15	13	11	0
16	13	10	0
16	12	10	0
16	13	9	0
16	13	9	0
16	13	8	0
15	13	7	0
14	12	9	0
14	12	9	0
14	12	9	0
14	13	9	0
14	12	9	0
14	12	9	0
