Cooperation is compulsory (no Loners)!
Steps
1001	1001

Entity counts
Human	Mammoth	Plant	Stone	
----------------------------------------------------
40	8	30	100
40	8	30	100
39	8	30	100
39	8	30	100
38	11	30	100
38	11	30	100
38	12	30	100
38	12	30	100
38	14	30	100
38	14	30	100
38	14	30	100
40	15	30	100
42	15	30	100
41	15	30	100
41	17	30	100
41	16	30	100
40	16	30	100
40	17	30	100
38	16	30	100
38	16	30	100
38	16	30	100
38	17	30	100
38	17	30	100
37	18	30	100
35	19	30	100
34	18	30	100
34	20	30	100
34	21	30	100
34	21	30	100
33	23	30	100
33	23	30	100
35	23	30	100
37	24	30	100
41	24	30	100
41	23	30	100
41	22	30	100
41	21	30	100
41	24	30	100
41	24	30	100
41	25	30	100
40	26	30	100
40	26	30	100
40	26	30	100
40	28	30	100
40	29	30	100
40	29	30	100
39	31	30	100
39	31	30	100
38	33	30	100
38	33	30	100
38	34	30	100
38	36	30	100
40	36	30	100
40	35	30	100
40	37	30	100
40	37	30	100
39	39	30	100
39	39	30	100
39	39	30	100
38	38	30	100
39	38	25	100
39	39	24	100
39	38	22	100
39	39	22	100
38	39	21	100
38	40	21	100
38	41	20	100
39	41	20	100
37	41	20	100
37	41	20	100
37	40	19	100
37	41	18	100
37	42	18	100
37	42	18	100
36	44	17	100
35	44	16	100
35	45	16	100
35	47	16	100
35	47	16	100
36	47	16	100
38	49	16	100
39	49	15	100
38	50	14	100
39	51	14	100
41	50	14	100
41	50	13	100
41	47	13	100
41	46	13	100
41	46	13	100
44	46	12	100
47	47	12	100
50	47	12	100
50	45	12	100
53	46	12	100
54	46	12	100
54	49	12	100
54	49	12	100
55	49	12	100
55	49	12	100
56	48	11	100
57	47	11	100
58	45	10	100
58	44	10	100
60	43	10	100
63	43	10	100
65	41	10	100
67	40	10	100
68	38	10	100
68	36	10	100
68	36	10	100
67	36	4	100
67	38	5	100
67	38	6	100
68	38	6	100
68	37	6	100
68	37	6	100
69	35	6	100
69	35	6	100
70	34	6	100
71	33	6	100
71	32	6	100
71	30	6	100
71	31	6	100
72	30	6	100
71	30	6	100
71	29	6	100
71	29	6	100
70	30	6	100
69	30	6	100
69	27	6	100
68	28	6	100
66	29	6	100
68	27	6	100
68	27	6	100
